28,1,手机屏幕(NQChat)寰枢AI,,您好，（=pn）同学。,
28,2,手机屏幕(NQChat)寰枢AI,,您的课表排期并没有周末的课程，建议本周六下午前往该区域调查。,
28,3,手机屏幕(NQChat)寰枢AI,,我会实时检测附近人数确保最小化影响。,
28,4,手机屏幕(NQChat)（=pn）,,,这么智能？,
28,5,手机屏幕(NQChat)寰枢AI,,有什么问题都可以来问我。,
29,1,手机屏幕(NQChat)（=pn）,,,"委托有报酬吗？|委托有危险吗？|你可以帮我做PPT吗？",,,后接1|2|3
1,1,手机屏幕(NQChat)寰枢AI,,根据任务重要程序分配货币，自动存入校园卡。,
1,2,手机屏幕(NQChat)寰枢AI,,个别任务具有特殊报酬，请自行查看。,
2,1,手机屏幕(NQChat)寰枢AI,,识别为首次委托接收者，首次委托风险较低，确认最坏情况为两名失序化个体。,
2,2,手机屏幕(NQChat)寰枢AI,,分析（=pn）同学的指令得出战斗胜率为70％。,
2,3,手机屏幕(NQChat)寰枢AI,,我也会提供战术指引。,
3,1,手机屏幕(NQChat)寰枢AI,,不能。,
3,2,手机屏幕(NQChat)寰枢AI,,若因协会相关事宜无法完成基础课业，我会帮忙申请补考或重修。,
3,3,,,,果然是人机，没那么智能,,
3,4,手机屏幕(论坛好友)寰枢AI,,寰枢AI制造初衷为协助指令协会成员完成失序事件处理，不包括PPT制作。,
3,5,,,,不会做就说不会做嘛。,,,
3,6,手机屏幕(论坛好友)寰枢AI,,如果真的因为协会相关事务无法完成，我会帮忙完成课业任务。,
