剧情节数,对话序号,角色,地点,对话文本,选项,表情拆分,,,first,,任务,,奖励

进入办公室,,,,,,,,,,
19,1,区域触发对话,宁芷,办公室,你那天应该有偷听到个大概吧？,
,2,自动触发对话,宁芷,办公室,关于失序化事件。,
,3,自动触发对话,(=pn),办公室,,……|我什么都不知道。|嗯。,PC5|PC2|PC5
,4,自动触发对话,宁芷,办公室,那你也知道，使用指令是要付出一定代价的吧？,
,5,自动触发对话,宁芷,办公室,失序。,
,6,自动触发对话,宁芷,办公室,失序的物体变得难以理解，失序的生命化作行尸走肉。,
,7,自动触发对话,宁芷,办公室,而最近一周，出现了多个学生失序化的事件。,
,8,自动触发对话,(=pn),办公室,,……,
,9,自动触发对话,宁芷,办公室,还记得入学通知书上负责指令登记的指令协会吗。,
,10,自动触发对话,宁芷,办公室,他们表面上是负责指令登记管理及监督使用的学生组织。,
,11,自动触发对话,宁芷,办公室,实际上还负责校内一切失序相关事务。,
,12,自动触发对话,宁芷,办公室,他们由校内大部分教职工及小部分指令能力特殊的学生组成。,
,13,自动触发对话,宁芷,办公室,学妹你还有什么想问的吗？,
20,1,(=pn),办公室,,关于失序。|关于指令协会。|你为什么要告诉我这些？|暂时没有了。,PC5,,1|2|3|4,

1,1,交互触发对话,宁芷,办公室,失序因指令而起。,
1,2,自动触发对话,宁芷,办公室,经研究，目前南桥大学已经实现了将失序量化，即失序值。,,,20,
1,3,自动触发对话,宁芷,办公室,一个数值，背后却是不同程度的疯狂。,宁芷1,
1,4,自动触发对话,宁芷,办公室,所以最好不要超负荷或短时间内多次使用指令哦。,

2,1,交互触发对话,宁芷,办公室,指令协会是南桥大学官方组织，负责校内失序相关的绝大多数研究和事件处理。,
2,2,自动触发对话,宁芷,办公室,当然，因为是官方组织，所以会给成员结算G3学分哦。,,,20,

3,1,交互触发对话,宁芷,办公室,我认为你会成为那个能够改变现状的人。,,,20,

4,1,交互触发对话,宁芷,办公室,那么，我现在以指令协会会长的身份，诚挚邀请你，加入指令协会。,,,,,,接受任务:0000401,
4,2,自动触发对话,宁芷,办公室,不必现在回复我，我希望你能认真考虑过后再做出答复。,
4,3,自动触发对话,宁芷,办公室,你是一名成年人，对抗失序也绝非儿戏。,
4,4,自动触发对话,宁芷,办公室,选择加入就代表着你将肩负一个绝对不算小的责任。,
4,5,自动触发对话,宁芷,办公室,你可以在下周五前给我答复。,

22,1,自动触发对话,(=pn),办公室,,"我加入。|我再考虑考虑。|我知道这么多，不加入会怎么样？",PC5,5|6|7,

5,1,交互触发对话,宁芷,办公室,比我想象的要快呢，看来你已经做好准备了。,
5,2,自动触发对话,宁芷,办公室,欢迎加入我们来一同探寻，世界的真相。,

6,1,交互触发对话,宁芷,办公室,可以随时发消息回复我哦~,,,后接24,

7,1,交互触发对话,宁芷,办公室,并不会怎么样，这些信息本就不算什么机密。,
7,2,自动触发对话,宁芷,办公室,指令协会的存在是为了让那些选择了平静的普通人不会直面失序。,
7,3,自动触发对话,宁芷,办公室,也总有一些敢于涉足未知肩负责任的人们愿意去守护这份平静。,,,22,

24,1,"自动触发对话
（23号后强行选择2）",手机屏幕(NQChat),,,我加入。|还是算了。,,,,25|26,
25,1,交互触发对话,手机屏幕(NQChat)宁芷,,欢迎加入指令协会。,,,,任务完成，后续27,
26,1,交互触发对话,手机屏幕(NQChat)宁芷,,好吧，不过我还是希望你能再考虑考虑。,,,,之后可以继续回到操场进行百团大战,
